aab | arrabury airport | tanbar | brisbane
bki | kota kinabalu international airport | putatan | kuching
bkk | suvarnabhumi airport | lat krabang | bangkok
bkl | burke lakefront airport | cleveland | new york
bkn | balkanabat airport | balkanabat | ashgabat
bko | bamako-senou international airport | bamako | bamako
bkq | blackall airport |  | brisbane
bks | fatmawati soekarno airport | bengkulu | jakarta
bkv | bailing airport | bailingmiao | shanghai
bkw | beckley airport | daniels | new york
bkz | bukoba airport | bukoba | dar es salaam
bla | general jose antonio anzoategui international airport | barcelona | caracas
blb | panama pacifico airport | ancon | panama
ble | dala airport | ornas | stockholm
bli | bellingham international airport | marietta-alderwood | los angeles
blj | batna airport | batna | algiers
blk | blackpool airport | great marton | london
bll | billund airport | billund | copenhagen
blm | monmouth executive airport | belmar | new york
blq | guglielmo marconi airport | trebbo | rome
blr | kempegowda international airport | devanhalli | kolkata
blz | chileka airport |  | blantyre
bma | bromma airport | bromma | stockholm
bme | broome airport |  | perth
bmi | central illinois regional airport | bloomington | chicago
bml | berlin municipal airport |  | new york
bmu | sultan muhammad salahuddin airport | melati | makassar
bmv | phung-duc airport | buon ma thuot | ho chi minh
bna | nashville international airport | lakewood | chicago
bnd | bandar abbas international airport | bandar 'abbas | tehran
bne | brisbane airport | ascot | brisbane
bni | benin city airport | benin city | lagos
bnk | ballina byron airport | ballina | sydney
bnn | bronnoysund airport bronnoy | bronnoysund | oslo
bnx | banja luka airport | laktasi | sarajevo
bob | motu mute airport |  | tahiti
bod | bordeaux airport | le haillan | paris
bog | el dorado international airport | funza | bogota
boh | bournemouth airport | st leonards | london
boj | bourgas airport | sredets | sofia
bom | chhatrapati shivaji international airport | mumbai | kolkata
bon | flamingo international airport | dorp tera kora | kralendijk
boo | bodo airport | bodo | oslo
bos | logan international airport | chelsea | new york
bpe | qinhuangdao beidaihe airport |  | shanghai
bpl | bole airport | dostyq | shanghai
bpn | sultan aji muhamad sulaiman airport | city of balikpapan | makassar
bps | porto seguro airport | porto seguro | bahia
bpt | jefferson county airport | nederland | chicago
bpx | bangda airport | yanduo | shanghai
bqb | bussellton regional airport | vasse | perth
bqn | rafael hernandez airport | san antonio | puerto rico
bqs | blagoveschensk airport | shangmachang | yakutsk
bqt | brest airport | zhabinka | minsk
bra | barreiras airport | barreiras | bahia
brc | san carlos de bariloche international airport | san carlos de bariloche | argentina
brd | crow wing county airport | brainerd | chicago
bre | bremen airport | bremen | berlin
bri | palese airport | san paolo | rome
brl | burlington airport | burlington | chicago
brm | barquisimeto airport | barquisimeto | caracas
brn | bern airport | belp | zurich
bro | south padre island international airport | south point | chicago
brq | turany airport | slapanice | prague
brr | north bay airport |  | london
brs | bristol airport | butcombe | london
bru | brussels airport | zaventem | brussels
brw | wiley post-will rogers memorial airport |  | anchorage
bsb | brasilia international airport | brasilia | sao paulo
bsd | baoshan airport | dianyang | shanghai
bsg | bata airport | bata | malabo
bsk | biskra airport | biskra | algiers
bsl | euroairport swiss |  | zurich
bso | basco airport | basco | manila
bsq | bisbee municipal airport | naco | phoenix
bsr | basra international airport | al basrah | baghdad
bth | hang nadim international airport |  | jakarta
bti | barter island airport |  | anchorage
btj | sultan iskandar muda international airport | montasik | jakarta
btk | bratsk airport | bratsk | irkutsk
btm | butte airport | butte | denver
btr | baton rouge metropolitan airport | brownsfield | chicago
bts | bratislava airport |  | bratislava
btu | bintulu airport | bintulu | kuching
btv | burlington international airport | south burlington | new york
btz | yala betong international airport | betong | bangkok
bud | budapest ferenc liszt international airport | vecses | budapest
buf | buffalo niagara international airport | williamsville | new york
bup | bhatinda airport | bhatinda | kolkata
buq | bulawayo airport | bulawayo | harare
bur | bob hope airport | north hollywood | los angeles
bus | batumi airport | batumi | tbilisi
but | bathpalathang airport | jakar | thimphu
buu | muara bungo airport | muarabungo | jakarta
buw | baubau airport |  | makassar
buz | bushehr airport | bushehr | tehran
bva | beauvais-tille airport | tille | paris
bvb | boa vista airport | boa vista | boa vista
bvc | rabil airport | vila de sal rei | cape verde
bve | laroche airport | brive-la-gaillarde | paris
bvg | berlevag airport | berlevag | oslo
bvh | vilhena airport |  | porto velho
bvj | bovanenkovo airport | aksarka | yekaterinburg
bvy | beverly municipal airport | beverly | new york
bwa | bhairawa airport | bhairahawa | kathmandu
bwi | baltimore/wash international thurgood marshall airport | ferndale | new york
bwn | brunei international airport | bandar seri begawan | brunei
bwt | burnie wynyard airport | wynyard | hobart
bww | las brujas airport | yaguajay | havana
bxu | butuan airport | libertad | manila
bxw | harun thohir airport | paloh | jakarta
bxy | baikonur krayniy airport | toretam | qyzylorda
byf | albert-bray airport | bray-sur-somme | paris
byh | arkansas international airport | blytheville | chicago
byo | bonito airport | bonito | campo grande
byp | barimunya airport |  | perth
byr | laeso airport | byrum | copenhagen
bze | philip s.w. goldson international airport |  | belize
bzg | bydgoszcz airport | bydgoszcz | warsaw
bzk | bryansk international airport | bryansk | moscow
bzl | barisal airport | barisal | dhaka
bzm | bemolanga airport |  | antananarivo
bzn | bozeman yellowstone international airport | belgrade | denver
bzr | beziers vias airport | portiragnes | paris
bzv | maya maya airport | brazzaville | brazzaville
bzx | bazhong enyang airport | bazhou | shanghai
bzy | beltsy airport | balti | chisinau
cab | cabinda airport | cabinda | luanda
cac | cascavel airport | cascavel | sao paulo
cae | columbia metropolitan airport |  | new york
cag | cagliari elmas airport | elmas | rome
cai | cairo international airport |  | cairo
cak | akron-canton airport | greensburg | new york
cal | machrihanish airport | campbeltown | london
can | guangzhou baiyun international airport |  | shanghai
cap | cap haitien airport | okap | port-au-prince
caw | bartolomeu lisandro airport | campos | sao paulo
cay | felix eboue airport | matoury | cayenne
cbb | j wilsterman airport | cochabamba | la paz
cbg | cambridge airport | fulbourn | london
cbo | awang airport | awang | manila
cbq | calabar airport | calabar | lagos
cbr | canberra airport | forrest | canberra
cbt | catumbela airport | catumbela | luanda
ccb | cable airport | claremont | los angeles
ccc | jardines del rey airport | moron | havana
ccf | carcassonne airport | pennautier | paris
ccg | crane county airport | crane | chicago
ccj | calicut international airport | ferokh | kolkata
cck | cocos islands airport | west island | cocos
ccp | carriel sur airport | concepcion | santiago
ccs | simon bolivar international airport | catia la mar | caracas
ccu | netaji subhas chandra bose airport | dam dam | kolkata
cdb | cold bay airport |  | nome
cdc | cedar city airport | cedar city | denver
cdg | charles de gaulle airport |  | paris
cdr | chadron airport | chadron | denver
cdv | mudhole smith airport |  | anchorage
ceb | mactan-cebu international airport | buagsong | manila
cec | del norte county regional airport | crescent city | los angeles
ced | ceduna airport |  | adelaide
cee | cherepovets airport | tonshalovo | moscow
ceg | hawarden airport | chester | london
cei | chiang rai international airport | chiang rai | bangkok
cek | chelyabinsk international airport | potanino | yekaterinburg
cen | ciudad obregon airport | antonio rosales | hermosillo
cez | montezuma county airport | cortez | denver
cfb | cabo frio international airport | cabo frio | sao paulo
cfe | clermont-ferrand auvergne airport | aulnat | paris
cfg | jaime gonzalez airport | cienfuegos | havana
cfk | chlef international airport | chlef | algiers
cfm | conklin (leismer) airport |  | edmonton
cfn | donegal airport | derrybeg | dublin
cfq | creston valley airport | creston | creston
cfr | carpiquet airport | carpiquet | paris
cfs | coffs harbour airport | coffs harbour | sydney
cfu | ioannis kapodistrias airport | kerkyra | athens
cgb | marechal rondon international airport | varzea grande | cuiaba
cgd | changde airport | doumuhu | shanghai
cgh | sao paulo/congonhas airport | diadema | sao paulo
cgi | cape girardeau airport | scott city | chicago
cgk | soekarno-hatta international airport | teluknaga | jakarta
cgn | cologne bonn airport | wahn-heide | berlin
cgo | zhengzhou xinzheng airport |  | shanghai
cgp | shah amanat international airport | chittagong | dhaka
cgq | changchun longjia international airport | changchun | shanghai
cgr | campo grande international airport | campo grande | campo grande
cgy | laguindingan international airport | lumbia | manila
cha | chattanooga airport | east ridge | new york
chc | christchurch international airport | prebbleton | auckland
chg | chaoyang airport | chaoyang | shanghai
cho | charlottesville albemarle airport | hollymead | new york
chq | chania international airport | mouzouras | athens
chs | charleston international airport | hanahan | new york
chu | chuathbaluk airport |  | anchorage
chy | choiseul bay airport |  | guadalcanal
cia | ciampino-g. b. pastine international airport | ciampino | rome
cic | chico municipal airport | chico | los angeles
cid | the eastern iowa airport | fairfax | chicago
cif | chifeng airport |  | shanghai
cih | changzhi airport | daxinzhuang | shanghai
cij | e. beltram airport | brasileia | la paz
cit | shymkent airport | shymkent | almaty
ciu | chippewa county airport |  | detroit
cix | cornel ruiz airport | chiclayo | lima
ciy | comiso airport | comiso | rome
cja | cajamarca airport | cajamarca | lima
cjb | coimbatore international airport | irugur | kolkata
cjc | el loa airport | calama | santiago
cjf | coondewanna airport |  | perth
cjj | cheongju airport | cheongju-si | seoul
cjm | chumphon airport | pathio | bangkok
cjs | abraham gonzalez international airport | ciudad juarez | ojinaga
cju | jeju international airport |  | seoul
cjz | cajazeiras airport | cajazeiras | fortaleza
ckb | benedum airport | bridgeport | new york
ckg | chongqing jiangbei international airport | shuangfengqiao | shanghai
ckh | chokurdah airport | chokurdakh | srednekolymsk
cks | carajas airport |  | belem
cky | conakry airport | conakry | conakry
ckz | canakkale airport | canakkale | istanbul
